Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN09499,1,0,0,4,Meal Plan 1,0,Room_Type 1,14,2018,5,18,Offline,0,0,0,72,1,Not_Canceled
INN09500,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,11,9,Online,0,0,0,91,1,Not_Canceled
INN09501,2,0,0,4,Meal Plan 1,0,Room_Type 4,92,2018,5,24,Offline,0,0,0,106.08,0,Not_Canceled
INN09502,1,0,0,1,Meal Plan 1,0,Room_Type 1,238,2018,10,13,Offline,0,0,0,80,0,Not_Canceled
INN09503,2,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,10,3,Online,0,0,0,149,0,Canceled
INN09504,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100,0,Not_Canceled
INN09505,2,0,2,3,Meal Plan 1,0,Room_Type 1,71,2018,3,13,Online,0,0,0,73.95,0,Canceled
INN09506,2,0,0,2,Meal Plan 1,1,Room_Type 1,65,2018,9,6,Online,0,0,0,107.1,1,Not_Canceled
INN09507,2,0,1,3,Not Selected,0,Room_Type 1,76,2017,10,22,Online,0,0,0,58.76,1,Not_Canceled
INN09508,2,0,5,12,Meal Plan 1,0,Room_Type 1,81,2017,8,3,Online,0,0,0,76.5,1,Canceled
INN09509,2,0,2,3,Not Selected,1,Room_Type 1,3,2018,11,12,Online,0,0,0,99.1,1,Not_Canceled
INN09510,2,1,0,2,Meal Plan 1,0,Room_Type 1,7,2018,12,30,Online,0,0,0,158,0,Not_Canceled
INN09511,1,0,1,3,Meal Plan 1,0,Room_Type 4,7,2018,10,27,Aviation,0,0,0,110,0,Not_Canceled
INN09512,3,0,1,0,Meal Plan 1,0,Room_Type 4,7,2018,5,30,Online,0,0,0,141.95,1,Not_Canceled
INN09513,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,7,29,Online,0,0,0,89,0,Not_Canceled
INN09514,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,12,20,Online,0,0,0,79.5,3,Not_Canceled
INN09515,2,0,2,3,Meal Plan 1,0,Room_Type 1,35,2018,3,12,Offline,0,0,0,63,0,Not_Canceled
INN09516,2,0,0,2,Meal Plan 1,0,Room_Type 1,113,2018,6,17,Online,0,0,0,126.9,0,Canceled
INN09517,2,0,2,2,Meal Plan 1,0,Room_Type 1,12,2017,12,19,Offline,0,0,0,58,0,Not_Canceled
INN09518,2,0,0,1,Meal Plan 1,0,Room_Type 4,3,2018,9,22,Online,0,0,0,194,1,Not_Canceled
INN09519,2,0,0,2,Meal Plan 1,0,Room_Type 1,80,2018,4,8,Online,0,0,0,96.3,1,Not_Canceled
INN09520,2,0,2,1,Meal Plan 1,0,Room_Type 1,12,2018,1,2,Offline,0,0,0,82,0,Not_Canceled
INN09521,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,10,27,Online,0,0,0,120,0,Not_Canceled
