no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests,label_avg_price_per_room,type_of_meal_plan_Meal Plan 1,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 1,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Aviation,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Canceled,booking_status_Not_Canceled
2,0,1,2,0,224,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,2,3,0,5,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,2,1,0,1,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,2,0,211,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,1,1,0,48,0,0,0,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,2,0,346,0,0,0,1,2,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,1,3,0,34,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,3,0,83,0,0,0,1,2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
3,0,0,4,0,121,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,5,0,44,0,0,0,3,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
1,0,1,0,0,0,0,0,0,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,2,1,0,35,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,2,1,0,30,0,0,0,0,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
1,0,2,0,0,95,0,0,0,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,2,0,47,0,0,0,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,256,0,0,0,1,2,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False
1,0,1,0,0,0,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,1,3,0,1,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,2,2,0,99,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,1,0,0,12,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,2,2,0,99,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
1,0,0,1,0,122,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
2,0,2,4,0,2,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,3,0,37,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,2,1,0,130,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,99,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,1,0,60,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
1,0,0,2,0,2,0,0,0,0,2,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
1,0,1,2,0,37,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,2,0,56,0,0,0,0,1,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,1,1,0,3,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
2,0,2,2,0,107,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
0,2,0,3,0,56,0,0,0,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
2,0,0,1,0,2,0,0,0,1,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,72,0,0,0,0,2,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,0,1,1,23,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True
1,0,2,1,0,34,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,0,1,0,289,0,0,0,0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,0,2,3,0,247,0,0,0,0,1,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
2,0,2,1,0,186,0,0,0,1,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
2,0,0,4,0,64,0,0,0,2,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,0,2,0,35,0,0,0,1,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
3,0,2,1,0,96,0,0,0,1,3,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True
2,0,1,1,0,41,0,0,0,1,2,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False
